TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS	VALENCE	AROUSAL	PREDICTED_MOODS	VALENCE_MOOD	AROUSAL_MOOD	DOMINANCE_MOOD	MATCHED_TOKENS	BPM
track_0947783	artist_356323	album_111364	83/947783.mp3	204.0	mood/theme---energetic	5.844894886016846	4.254141807556152	background,calm,commercial,corporate,energetic,groovy,hopeful,positive,retro,soft,travel	6.785454545454545	4.498181818181818	5.435272727272727	11	150.042114258
track_0147385	artist_007362	album_021138	85/147385.mp3	240.3	mood/theme---energetic	5.860098838806152	6.618363857269287	dark,energetic,fast,fun,funny,game,groovy,melodic,party,powerful,retro	6.624363636363637	5.757090909090909	5.849818181818182	11	135.846435547
track_1088380	artist_396983	album_129758	80/1088380.mp3	340.0	mood/theme---energetic	5.952450275421143	5.610158920288086	advertising,corporate,deep,dream,energetic,groovy,happy,hopeful,motivational,party,positive,sexy,sport,summer,upbeat,uplifting	7.140750000000001	5.754000000000001	6.331499999999999	16	119.988700867
track_1072432	artist_339989	album_127400	32/1072432.mp3	277.8	mood/theme---energetic	6.295241832733154	5.802020072937012	advertising,background,cool,corporate,deep,energetic,fast,fun,funny,groovy,happy,inspiring,party,positive,sexy,sport,summer,upbeat,uplifting	6.915157894736841	5.76421052631579	6.197052631578948	19	114.972991943
track_1066798	artist_437571	album_126092	98/1066798.mp3	218.0	mood/theme---energetic	6.952052116394043	7.021373748779297	cool,energetic,fast,fun,groovy,hopeful,melodic,motivational,party,positive,powerful,retro,sport,travel,upbeat,uplifting	7.295750000000001	5.665	6.312249999999999	16	119.943443298
track_0978028	artist_352814	album_115190	28/978028.mp3	408.0	mood/theme---energetic	5.985529899597168	5.88503360748291	advertising,children,commercial,corporate,energetic,fast,fun,groovy,happy,inspiring,motivational,party,positive,upbeat,uplifting	7.303200000000001	5.783466666666667	6.266666666666668	15	89.8615951538
track_0935787	artist_378901	album_109836	87/935787.mp3	203.0	mood/theme---energetic	5.641968250274658	6.283236980438232	cool,dark,energetic,fast,fun,funny,game,groovy,heavy,melodic,party,powerful,retro,sexy,sport,upbeat	6.65075	5.831	6.11225	16	133.815368652
track_1325603	artist_457476	album_156960	03/1325603.mp3	228.9	mood/theme---energetic	5.720394611358643	5.966493606567383	background,commercial,cool,dark,dramatic,energetic,fast,heavy,motivational,powerful,retro,space,sport,uplifting	5.918857142857142	5.509714285714287	5.847714285714287	14	150.016555786
track_0887211	artist_376782	album_104336	11/887211.mp3	197.4	mood/theme---energetic	5.390458106994629	4.817187309265137	adventure,ballad,dark,drama,dream,emotional,groovy,hopeful,love,melancholic,romantic,sad,sexy,soft	6.361714285714286	5.163428571428573	4.897142857142856	14	172.265975952
track_1145286	artist_451032	album_137313	86/1145286.mp3	184.3	mood/theme---energetic	5.093113422393799	5.247867584228516	energetic,fun,funny,groovy,happy,love,party,retro,sexy,upbeat	7.5572	5.8568	5.8672	10	96.0216217041
track_0211416	artist_341393	album_031222	16/211416.mp3	245.1	mood/theme---energetic	5.654684066772461	7.198609352111816	action,adventure,dark,energetic,epic,fast,fun,groovy,heavy,melodic,powerful,sport,upbeat	6.723384615384616	6.2855384615384615	6.455692307692307	13	161.587905884
track_0211412	artist_341393	album_031222	12/211412.mp3	245.4	mood/theme---energetic	5.29987382888794	6.293633937835693	adventure,energetic,fast,fun,funny,groovy,heavy,love,melodic,powerful,sport,upbeat	7.180333333333333	6.168	6.262999999999999	12	155.521316528
track_0900795	artist_377939	album_106040	95/900795.mp3	287.1	mood/theme---energetic	5.623559474945068	4.7984113693237305	adventure,ballad,cool,energetic,fast,groovy,heavy,hopeful,melancholic,melodic,sad,sport,travel	6.1763076923076925	5.305846153846153	5.524923076923077	13	110.776596069
track_1055908	artist_004854	album_124487	08/1055908.mp3	309.4	mood/theme---energetic	5.956137180328369	7.468315124511719	dark,dream,energetic,epic,fast,melodic,movie,party,powerful,retro,space,upbeat,uplifting	6.684615384615385	5.6240000000000006	5.932	13	134.831542969
track_1069596	artist_438392	album_126496	96/1069596.mp3	46.8	mood/theme---energetic	5.392629146575928	5.577116966247559	action,dark,energetic,fast,fun,game,heavy,movie,retro,space,sport	5.830545454545455	5.775272727272727	5.6829090909090905	11	102.622894287
